,Close
0,293.5
1,304.05
2,292.8
3,296.45
4,286.55
5,287.2
6,283.85
7,285.6
8,283.85
9,286.55
10,302.2
11,305.75
12,305.25
13,291.35
14,299.55
15,293.05
16,303.15
17,316.6
18,324.4
19,333.5
20,350.55
21,351.4
22,341.9
23,357.2
24,355.45
25,350.5
26,329.15
27,320.35
28,343.65
29,359.15
30,332.6
31,341.6
32,339.2
33,327.9
34,319.15
35,305.95
36,330.45
37,351.7
38,379.85
39,409.7
40,401.7
41,433.85
42,468.6
43,473.05
44,443.5
45,412.2
46,416.7
47,399.6
48,397.55
49,381.6
50,396.65
51,400.5
52,398.2
53,406.35
54,413.25
55,409.85
56,416.8
57,417.4
58,412.7
59,380.3
60,363.85
61,393
62,424.45
63,458.45
64,469.8
65,459.25
66,490.95
67,477.7
68,464.3
69,453.25
70,448.7
71,433.1
72,445.4
73,459.35
74,475.1
75,448.05
76,456.9
77,460.65
78,460.15
79,472.35
80,479.35
81,460.85
82,455.75
83,449
84,437.55
85,424.95
86,441.75
87,448.65
88,461.05
89,460.4
90,471.75
91,461.35
92,465.45
93,477.65
94,486.15
95,501.9
96,486.4
97,473
98,483.3
99,541.3
100,543.65
101,478.45
102,496.35
103,525.35
104,544.7
105,530.7
106,513.2
107,515.25
108,509.35
109,503.6
110,495.35
111,488.2
112,484.85
113,499.85
114,504.1
115,509.2
116,525.1
117,525.35
118,536.25
119,541.15
120,558.2
121,551.55
122,548.15
123,551.65
124,548.7
125,480
126,484.65
127,511.25
128,499.9
129,489.85
130,481.2
131,490.55
132,487.65
133,478.55
134,480.95
135,475.55
136,475.3
137,511.65
138,509.25
139,501
140,498.4
141,499.75
142,500.3
143,500.05
144,505.9
145,499.3
146,491.75
147,489.15
148,503.15
149,502.75
150,505.55
151,493.55
152,496.05
153,504.95
154,503.15
155,522.8
156,513
157,501.1
158,490.4
159,482.9
160,489.6
161,495.35
162,500.5
163,500.7
164,505
165,520.15
166,524.05
167,528.25
168,544.6
169,539.95
170,534.3
171,532.2
172,529.45
173,520.65
174,506
175,513.55
176,507.5
177,499.55
178,502.05
179,500
180,499.7
181,481
182,474.95
183,445.15
184,426.55
185,441.05
186,437.85
187,433.9
188,439
189,439
190,449.45
191,449.25
192,455.95
193,448.6
194,449.65
195,450
196,450.85
197,458.8
198,458.75
199,477.4
200,469.75
201,464.65
202,457.35
203,462.2
204,461.3
205,464.1
206,471.45
207,470.25
208,480
209,489.85
210,488.5
211,482.9
212,485.6
213,489
214,488.2
215,496.85
216,508.05
217,496.8
218,500.4
219,494.65
220,489.2
221,477.35
222,477.25
223,474.15
224,485.5
225,509.4
226,525.1
227,528
228,524.65
229,529.2
230,519.5
231,523.4
232,522.55
233,530.75
234,535.3
235,546.7
236,555.6
237,561.55
238,555.35
239,553.3
240,560.45
241,555.3
242,556.5
243,554.75
244,545.05
245,549.3
246,542.75
247,536.6
248,538.7
249,541.8
250,538.25
251,542.15
252,552.15
253,550.6
254,583.3
255,589.35
256,595.6
257,572.45
258,551.15
259,547.85
260,536.35
261,529.35
262,531.55
263,529.9
264,515
265,505.5
266,495.5
267,513.85
268,545.25
269,582.2
270,558.9
271,554.85
272,555.15
273,573.85
274,558.65
275,554.55
276,558.45
277,573.25
278,593.05
279,578.75
280,574.75
281,571.1
282,574.35
283,567.4
284,577.7
285,568.6
286,567.9
287,562.8
288,555.6
289,569.7
290,591.3
291,593.5
292,598.5
293,556.1
294,526.15
295,544.05
296,540.8
297,540.35
298,545.05
299,546
300,594
301,572.7
302,571.85
303,569.45
304,556.8
305,568.8
306,586.4
307,586.2
308,578.85
309,586.7
310,574.25
311,567.2
312,546.4
313,568.4
314,578.35
315,560.45
316,560.45
317,552.6
318,550.2
319,551.35
320,555.25
321,585
322,594.95
323,576.95
324,571.2
325,569.55
326,583.5
327,589.4
328,596.8
329,587.2
330,581.2
331,574
332,589.55
333,592.95
334,604.45
335,611.75
336,608.85
337,591.05
338,591.05
339,588.85
340,590.1
341,594.55
342,609.15
343,671.45
344,660.1
345,651.25
346,641.1
347,649.95
348,660.1
349,660.15
350,664.65
351,674
352,672.15
353,663.1
354,665.5
355,666.35
356,667.65
357,652.1
358,650.35
359,662.05
360,670
361,668.25
362,652.95
363,649.45
364,653.8
365,657.85
366,669.2
367,674.4
368,666.05
369,666.15
370,674.8
371,695.3
372,688.9
373,676.95
374,690.3
375,662.35
376,663.6
377,669.8
378,664.9
379,660
380,652.85
381,650.55
382,660.15
383,651.15
384,664.1
385,660.85
386,659.9
387,659.85
388,654.5
389,633.7
390,629.55
391,633.25
392,640.4
393,651.05
394,657.45
395,653.7
396,670
397,680.75
398,673.4
399,670.3
400,669.85
401,662.1
402,665
403,667.1
404,678.1
405,664.05
406,662.9
407,662.85
408,680.9
409,689
410,702.5
411,710.45
412,702.25
413,677.7
414,675.9
415,680.1
416,697.1
417,704.85
418,691.8
419,689.9
420,697.3
421,706.85
422,710.5
423,720.35
424,709.35
425,668.35
426,678.7
427,620.75
428,620.3
429,627.35
430,666.6
431,645.65
432,644.2
433,617.9
434,674.55
435,629.95
436,629.95
437,623.45
438,653.75
439,649.25
440,699.3
441,673
442,670.15
443,681.85
444,650.45
445,669.25
446,657.7
447,652.65
448,664.55
449,663.7
450,650.35
451,640.65
452,645.55
453,654.45
454,678.55
455,677.95
456,678.2
457,694.4
458,698.15
459,700.35
460,704.2
461,700.1
462,699.45
463,705.65
464,700.3
465,688.45
466,689.95
467,684.25
468,686.65
469,690.05
470,689.1
471,679.4
472,706.4
473,700.25
474,702.25
475,702.6
476,700.15
477,699.85
478,688.85
479,692.4
480,687.1
481,685.4
482,694.85
483,695.3
484,685.75
485,686.9
486,689.9
487,685
488,689.5
489,688
490,679.95
491,679.05
492,668.25
493,672.45
494,668.55
495,669.35
496,668.65
497,666.1
498,659.45
499,648.8
500,646.6
501,643
502,624.95
503,620.55
504,644.55
505,647.05
506,643.55
507,647.4
508,640.6
509,635.85
510,629.85
511,624.65
512,627.7
513,625.8
514,625.05
515,630.2
516,640.15
517,635.8
518,634.85
519,633.3
520,632.15
521,649.7
522,636.8
523,631.05
524,636.9
525,635.45
526,631.65
527,635.95
528,643.5
529,650.95
530,690.3
531,668.4
532,677.3
533,673.25
534,669.75
535,660.7
536,670.05
537,671.3
538,680.55
539,672.4
540,680.65
541,672.25
542,686.8
543,670.4
544,675.95
545,671.15
546,673.9
547,667.1
548,665.55
549,668.2
550,668.7
551,670
552,665.8
553,669.65
554,683.8
555,674.5
556,665.25
557,665.35
558,661.3
559,684.45
560,665.3
561,664.35
562,665.1
563,660.2
564,660
565,660.15
566,659.9
567,647.85
568,650.75
569,657.25
570,659.3
571,659.95
572,655.35
573,649.7
574,634.6
575,609.75
576,610.85
577,620.55
578,626.2
579,639.4
580,644.2
581,654
582,653.1
583,645.3
584,653.9
585,644.3
586,648.65
587,641.1
588,639.1
589,640.45
590,649.75
591,648.5
592,624.15
593,630
594,629.7
595,620.7
596,619.25
597,610.45
598,610.6
599,607.55
600,599.65
601,594.9
602,594.8
603,600.3
604,603.35
605,591.1
606,607.85
607,623.35
608,629.25
609,622.65
610,639.75
611,640.85
612,639.9
613,658.95
614,649.05
615,650
616,624.8
617,628.4
618,610
619,629.25
620,626.75
621,636.75
622,644.4
623,653.9
624,639.95
625,640.1
626,617.05
627,626.6
628,644.65
629,644.3
630,627.95
631,624.45
632,621.05
633,619.4
634,617.8
635,625.1
636,613.75
637,615.25
638,619.85
639,615.15
640,611.45
641,607.45
642,616.55
643,601.5
644,610.6
645,615.85
646,632.3
647,640.4
648,629.85
649,617.3
650,618.2
651,618.2
652,613.8
653,630.35
654,625.5
655,618.95
656,610.2
657,616.55
658,613.35
659,604.15
660,600
661,596.9
662,587.85
663,563.05
664,570.55
665,574.95
666,574.75
667,582.8
668,596.05
669,596.65
670,595.45
671,577.8
672,588.7
673,593.75
674,584.85
675,578.75
676,585.45
677,594.65
678,593.5
679,594.8
680,593.8
681,594.3
682,590.1
683,593.65
684,588.65
685,593.55
686,599.8
687,598.9
688,605.6
689,599.5
690,609.75
691,611.65
692,610.05
693,612.45
694,608.4
695,614.35
696,617.2
697,630.3
698,619.2
699,617.65
700,617.25
701,634.1
702,638.8
703,631.2
704,634.1
705,630.95
706,629.2
707,629.45
708,627.55
709,627.55
710,631
711,634.4
712,634.2
713,631.55
714,638.25
715,642.2
716,644.65
717,650.8
718,661.05
719,659.2
720,668.85
721,689.85
722,682.65
723,677.9
724,689.3
725,681.2
726,688.55
727,684.3
728,676.75
729,664.9
730,661.35
731,681.1
732,687.25
733,681.5
734,680.8
735,690.35
736,343.6
737,364.65
738,376.95
739,360.4
740,361.25
741,357.55
742,360.2
743,357.2
744,353.4
745,351.25
746,360.1
747,360.5
748,358.35
749,356.2
750,360.05
751,353.6
752,360.25
753,365.55
754,365.25
755,367.8
756,363.8
757,367.65
758,370.55
759,374.45
760,372.25
761,370.6
762,372.45
763,371.7
764,375.25
765,377.5
766,373.1
767,375.55
768,375.45
769,375.2
770,375.25
771,375.1
772,374.1
773,369.6
774,374.75
775,374.45
776,376.15
777,390.2
778,387.5
779,379
780,375.05
781,376.8
782,375.1
783,374.8
784,375.55
785,375.95
786,375.55
787,375.05
788,375.1
789,374.7
790,374.8
791,374.8
792,373.05
793,370.15
794,368.15
795,368
796,368.35
797,365.15
798,357.5
799,354.05
800,339.5
801,351.85
802,351.15
803,352.55
804,349.65
805,352.65
806,348.15
807,341.35
808,340
809,333.4
810,331.35
811,338.8
812,341.8
813,344.15
814,340.35
815,338.85
816,340.4
817,341.25
818,340.2
819,342.45
820,340.1
821,334.7
822,328.9
823,326.75
824,329.05
825,325.75
826,313.85
827,299.2
828,314.5
829,328.7
830,340.3
831,357.05
832,349.7
833,345.2
834,326.4
835,330.95
836,331.3
837,333
838,332.95
839,331.65
840,338.25
841,338.2
842,341.4
843,342.25
844,343.55
845,346.35
846,354.65
847,365.25
848,364.55
849,364.85
850,373.75
851,371.2
852,375
853,380.7
854,367.8
855,365.75
856,367.35
857,381.5
858,374.95
859,372.3
860,367.65
861,387.1
862,394.55
863,402.55
864,405.4
865,409.8
866,408.8
867,406.25
868,405.55
869,406.7
870,413.75
871,407.45
872,408.65
873,395.95
874,385.1
875,418.1
876,402.65
877,415.25
878,409.35
879,408.05
880,410.45
881,416.15
882,411.2
883,409.05
884,406.95
885,400.25
886,407.95
887,420.95
888,408.05
889,400.4
890,408.35
891,419.9
892,406.8
893,404.3
894,409.6
895,413.05
896,422.15
897,438.95
898,432.9
899,431.35
900,434.55
901,443.55
902,452.75
903,478.75
904,469.35
905,459.8
906,479.8
907,510.55
908,510.9
909,481.4
910,468.3
911,472.9
912,465.45
913,479.45
914,483.9
915,482.6
916,503.25
917,479.95
918,485.25
919,496.5
920,499.65
921,501.75
922,499.25
923,507.85
924,492.75
925,480.8
926,483.8
927,493.15
928,477.8
929,473.95
930,481.25
931,479.25
