Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
3/1/2000,ASIANPAINT,EQ,361.2,370,390,370,385,381.65,380.54,3318,1.26E+11
4/1/2000,ASIANPAINT,EQ,381.65,380,392,375,390,385.55,383.5,4818,1.85E+11
5/1/2000,ASIANPAINT,EQ,385.55,371.5,390,371.5,383,383,379.81,2628,99813845000
6/1/2000,ASIANPAINT,EQ,383,384.9,384.9,374.5,375.1,377.5,379.88,3354,1.27E+11
7/1/2000,ASIANPAINT,EQ,377.5,376,390,370,389,385.7,383.38,9589,3.68E+11
10/1/2000,ASIANPAINT,EQ,385.7,415,416.6,409,416.6,415,414.97,60313,2.50E+12
11/1/2000,ASIANPAINT,EQ,415,415,423,409,417,415.2,412.51,65570,2.70E+12
12/1/2000,ASIANPAINT,EQ,415.2,420,448.45,410.05,418.55,417.65,421.46,24854,1.05E+12
13-01-2000,ASIANPAINT,EQ,417.65,423,429.9,413.05,417.1,418.7,422.4,9169,3.87E+11
14-01-2000,ASIANPAINT,EQ,418.7,410,414.9,408,410.6,410,410.05,64603,2.65E+12
17-01-2000,ASIANPAINT,EQ,410,420,421,401,415,411.35,413.72,7537,3.12E+11
18-01-2000,ASIANPAINT,EQ,411.35,410,419,410,416,414.05,413.76,7656,3.17E+11
19-01-2000,ASIANPAINT,EQ,414.05,425,430,417.5,418,419.35,421.93,28800,1.22E+12
20-01-2000,ASIANPAINT,EQ,419.35,425,428.9,412,422,420.55,418.78,54282,2.27E+12
21-01-2000,ASIANPAINT,EQ,420.55,422,445,421.25,425.9,425.85,429.77,48388,2.08E+12
24-01-2000,ASIANPAINT,EQ,425.85,434,459.95,434,459.95,458.4,457.7,55504,2.54E+12
25-01-2000,ASIANPAINT,EQ,458.4,470,495.05,467,495.05,494.7,484,45422,2.20E+12
27-01-2000,ASIANPAINT,EQ,494.7,530,530,460,477,472.95,477.35,33156,1.58E+12
28-01-2000,ASIANPAINT,EQ,472.95,470,483,465,481,480.65,479.59,48664,2.33E+12
31-01-2000,ASIANPAINT,EQ,480.65,499,499,460,460.5,460.5,461.12,35334,1.63E+12
1/2/2000,ASIANPAINT,EQ,460.5,462,468,459,460.05,460.3,460.67,29884,1.38E+12
2/2/2000,ASIANPAINT,EQ,460.3,475,475,459,460,460.1,461.38,14142,6.52E+11
3/2/2000,ASIANPAINT,EQ,460.1,462,463,455,455,456.1,459.08,24627,1.13E+12
4/2/2000,ASIANPAINT,EQ,456.1,460,465,455,455,456.7,458.31,71643,3.28E+12
7/2/2000,ASIANPAINT,EQ,456.7,460,460,440,455,453.65,450.96,6906,3.11E+11
8/2/2000,ASIANPAINT,EQ,453.65,440,481,440,463,459.85,450.21,53864,2.43E+12
9/2/2000,ASIANPAINT,EQ,459.85,469,469,447.5,455.5,457.15,455.68,2794,1.27E+11
10/2/2000,ASIANPAINT,EQ,457.15,460,460,440,440,440.9,449.09,13668,6.14E+11
11/2/2000,ASIANPAINT,EQ,440.9,437,450,431.5,450,443.35,440.32,5349,2.36E+11
14-02-2000,ASIANPAINT,EQ,443.35,440,450,414.9,435,431.75,434.8,3624,1.58E+11
15-02-2000,ASIANPAINT,EQ,431.75,445,445,400.1,415.95,416.65,411.27,8167,3.36E+11
16-02-2000,ASIANPAINT,EQ,416.65,427,427,390,390,399.1,403.8,5557,2.24E+11
17-02-2000,ASIANPAINT,EQ,399.1,375,408,375,394,392.6,391.61,17561,6.88E+11
18-02-2000,ASIANPAINT,EQ,392.6,409,410,391,409.95,402.45,399.25,7253,2.90E+11
21-02-2000,ASIANPAINT,EQ,402.45,402,410,395.25,401.5,402.75,400.96,6568,2.63E+11
22-02-2000,ASIANPAINT,EQ,402.75,401,404,400,401.8,400.45,400.21,8046,3.22E+11
23-02-2000,ASIANPAINT,EQ,400.45,396,410,395,410,406.85,400.31,2776,1.11E+11
24-02-2000,ASIANPAINT,EQ,406.85,400,405,398,400.5,400.5,400.6,1872,74991750000
25-02-2000,ASIANPAINT,EQ,400.5,392,404.8,380,380,392.95,396.51,1010,40047450000
28-02-2000,ASIANPAINT,EQ,392.95,375,402.5,375,402.5,400.45,395.93,2057,81441850000
29-02-2000,ASIANPAINT,EQ,400.45,395,402.5,369,375,376.4,389.4,2964,1.15E+11
1/3/2000,ASIANPAINT,EQ,376.4,397,400,364,400,399.7,391.29,1383,54115475000
2/3/2000,ASIANPAINT,EQ,399.7,400,412,388.1,388.25,390,396.12,3829,1.52E+11
3/3/2000,ASIANPAINT,EQ,390,370,421.2,370,415,404.8,387.12,10700,4.14E+11
6/3/2000,ASIANPAINT,EQ,404.8,400,408,390,395,398.05,396.98,5122,2.03E+11
7/3/2000,ASIANPAINT,EQ,398.05,385.3,390,375,376.15,376.55,379.93,3976,1.51E+11
8/3/2000,ASIANPAINT,EQ,376.55,388,400,380,400,399.95,398.43,22425,8.93E+11
9/3/2000,ASIANPAINT,EQ,399.95,409.9,431,391,410.3,423.5,410,8150,3.34E+11
10/3/2000,ASIANPAINT,EQ,423.5,419,419,392.25,402,402.2,402.11,2124,85408315000
13-03-2000,ASIANPAINT,EQ,402.2,400,405,396,400,399.95,399.97,74011,2.96E+12
14-03-2000,ASIANPAINT,EQ,399.95,394.05,415,391,400,400.15,400.59,21141,8.47E+11
15-03-2000,ASIANPAINT,EQ,400.15,400,419.95,400,410,407.45,411.31,3251,1.34E+11
16-03-2000,ASIANPAINT,EQ,407.45,415,415,405,408.5,410,409.91,58313,2.39E+12
21-03-2000,ASIANPAINT,EQ,410,407,425,407,425,418.05,412.84,6582,2.72E+11
22-03-2000,ASIANPAINT,EQ,418.05,444,449,420,424,422.5,430.92,5524,2.38E+11
23-03-2000,ASIANPAINT,EQ,422.5,410,425,410,418,416.15,417.08,3406,1.42E+11
24-03-2000,ASIANPAINT,EQ,416.15,415,419.8,412,417,415.35,415.41,3656,1.52E+11
27-03-2000,ASIANPAINT,EQ,415.35,423,423,411.1,415.5,415.6,415.31,5379,2.23E+11
