Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
3/1/2000,GAIL,EQ,67.8,65,70,65,68.8,68.7,67.91,76055,5.17E+11
4/1/2000,GAIL,EQ,68.7,69.85,72.9,66,67,66.35,67.29,98097,6.60E+11
5/1/2000,GAIL,EQ,66.35,68.35,68.7,61.1,63,63.2,65.24,92690,6.05E+11
6/1/2000,GAIL,EQ,63.2,64.8,67,63,64.75,64.95,65.55,173654,1.14E+12
7/1/2000,GAIL,EQ,64.95,65.9,65.9,62,62.9,62.65,63.76,86590,5.52E+11
10/1/2000,GAIL,EQ,62.65,64.95,64.95,62,62.7,62.3,62.81,85104,5.34E+11
11/1/2000,GAIL,EQ,62.3,62,62.4,59,59.75,59.8,60.79,97101,5.90E+11
12/1/2000,GAIL,EQ,59.8,62.7,62.7,60.25,61.7,61.55,61.25,97974,6.00E+11
13-01-2000,GAIL,EQ,61.55,62.3,62.5,61.25,61.7,61.85,61.88,28151,1.74E+11
14-01-2000,GAIL,EQ,61.85,61.75,62.9,60.05,62.9,62.45,61.34,33125,2.03E+11
17-01-2000,GAIL,EQ,62.45,63.5,64.45,62,63.7,63.8,63.79,82245,5.25E+11
18-01-2000,GAIL,EQ,63.8,64.4,67.9,63.55,66.55,66.95,65.33,70485,4.61E+11
19-01-2000,GAIL,EQ,66.95,70,70,65,66,65.8,67.91,119332,8.10E+11
20-01-2000,GAIL,EQ,65.8,65.5,66.45,62.85,63.45,63.4,64.26,47088,3.03E+11
21-01-2000,GAIL,EQ,63.4,62.25,64,62,62.7,62.25,62.62,57404,3.59E+11
24-01-2000,GAIL,EQ,62.25,63,64.25,61.25,62.5,62.15,62.61,53436,3.35E+11
25-01-2000,GAIL,EQ,62.15,61.25,62.45,60.15,61,60.55,60.8,81899,4.98E+11
27-01-2000,GAIL,EQ,60.55,62.7,63,60.5,60.9,60.8,61.17,38220,2.34E+11
28-01-2000,GAIL,EQ,60.8,61.25,61.25,60,60.9,60.85,60.75,17670,1.07E+11
31-01-2000,GAIL,EQ,60.85,60.25,61,58.1,58.8,58.5,59.59,24481,1.46E+11
1/2/2000,GAIL,EQ,58.5,59,59.8,58.3,58.5,58.6,59,34865,2.06E+11
2/2/2000,GAIL,EQ,58.6,60.75,61.95,60,61.05,61.05,61.03,31500,1.92E+11
3/2/2000,GAIL,EQ,61.05,60.6,62.45,60.6,61.4,60.95,60.77,179501,1.09E+12
4/2/2000,GAIL,EQ,60.95,61.5,61.5,59,60,59.85,59.77,42005,2.51E+11
7/2/2000,GAIL,EQ,59.85,58,60.7,58,59,58.75,59,19835,1.17E+11
