Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
3/1/2000,HDFC,EQ,271.75,293.5,293.5,293.5,293.5,293.5,293.5,22744,6.68E+11
4/1/2000,HDFC,EQ,293.5,317,317,297,304,304.05,303.62,255251,7.75E+12
5/1/2000,HDFC,EQ,304.05,290,303.9,285,295,292.8,294.53,269087,7.93E+12
6/1/2000,HDFC,EQ,292.8,301,314,295,296,296.45,300.14,305916,9.18E+12
7/1/2000,HDFC,EQ,296.45,290,296.35,281,287.1,286.55,288.8,197039,5.69E+12
10/1/2000,HDFC,EQ,286.55,292,296,285,288.4,287.2,289.42,133363,3.86E+12
11/1/2000,HDFC,EQ,287.2,290,292,273.25,282.85,283.85,284.54,337411,9.60E+12
12/1/2000,HDFC,EQ,283.85,287,293,284.5,285.25,285.6,287.6,222537,6.40E+12
13-01-2000,HDFC,EQ,285.6,288,290.5,283,284,283.85,285.84,113238,3.24E+12
14-01-2000,HDFC,EQ,283.85,284,294,276.25,291,286.55,283.6,152322,4.32E+12
17-01-2000,HDFC,EQ,286.55,302,309.5,295,303.5,302.2,302.87,500852,1.52E+13
18-01-2000,HDFC,EQ,302.2,307,317.85,301.05,305.25,305.75,308.57,369304,1.14E+13
19-01-2000,HDFC,EQ,305.75,310,315,303.05,304.5,305.25,308.98,377937,1.17E+13
20-01-2000,HDFC,EQ,305.25,303,306,288,291.9,291.35,297.57,208122,6.19E+12
21-01-2000,HDFC,EQ,291.35,292,307,290,299.5,299.55,300.93,591458,1.78E+13
24-01-2000,HDFC,EQ,299.55,306,306,291,294,293.05,295.58,207336,6.13E+12
25-01-2000,HDFC,EQ,293.05,285,308.95,281,305.5,303.15,299.56,512403,1.53E+13
27-01-2000,HDFC,EQ,303.15,315.9,316.6,309.9,316.6,316.6,316.02,838826,2.65E+13
28-01-2000,HDFC,EQ,316.6,328.5,328.9,315,326,324.4,323.32,1224604,3.96E+13
31-01-2000,HDFC,EQ,324.4,328.7,349.95,320.05,332.5,333.5,336.09,1449638,4.87E+13
1/2/2000,HDFC,EQ,333.5,337,353.9,335,351.25,350.55,345.34,1220141,4.21E+13
2/2/2000,HDFC,EQ,350.55,355,357,342,349,351.4,349.83,1124774,3.93E+13
3/2/2000,HDFC,EQ,351.4,345.55,351.5,338.15,342,341.9,344.17,338774,1.17E+13
4/2/2000,HDFC,EQ,341.9,342,362.4,341,350,357.2,352.79,1393426,4.92E+13
7/2/2000,HDFC,EQ,357.2,351,362.5,348.15,355,355.45,357.09,834598,2.98E+13
8/2/2000,HDFC,EQ,355.45,359,359,345.6,351,350.5,351.72,527223,1.85E+13
9/2/2000,HDFC,EQ,350.5,354,354,322.5,325,329.15,331.01,918950,3.04E+13
10/2/2000,HDFC,EQ,329.15,329,329,311.6,321,320.35,320.55,406175,1.30E+13
11/2/2000,HDFC,EQ,320.35,327,346,313,346,343.65,338.31,1361815,4.61E+13
14-02-2000,HDFC,EQ,343.65,354,369,345,354,359.15,359.35,1457178,5.24E+13
15-02-2000,HDFC,EQ,359.15,352.35,353.5,330.45,332,332.6,339.35,629569,2.14E+13
16-02-2000,HDFC,EQ,332.6,350,354.8,338.1,342.2,341.6,343.8,252848,8.69E+12
17-02-2000,HDFC,EQ,341.6,336,347,336,339,339.2,341.46,120854,4.13E+12
18-02-2000,HDFC,EQ,339.2,339,340,325,326.5,327.9,330.18,161499,5.33E+12
21-02-2000,HDFC,EQ,327.9,329,334,317.05,318,319.15,326.9,206189,6.74E+12
22-02-2000,HDFC,EQ,319.15,317,319.4,301.2,305,305.95,311.71,285365,8.90E+12
23-02-2000,HDFC,EQ,305.95,317,330.45,315,330.45,330.45,329.96,177171,5.85E+12
24-02-2000,HDFC,EQ,330.45,349.85,356,332,354,351.7,347.16,385844,1.34E+13
25-02-2000,HDFC,EQ,351.7,354,379.85,351.1,379.85,379.85,373.96,230532,8.62E+12
28-02-2000,HDFC,EQ,379.85,405.5,410.25,380.5,410.25,409.7,400.35,643659,2.58E+13
29-02-2000,HDFC,EQ,409.7,420,442.5,376.95,395,401.7,419.9,1014948,4.26E+13
1/3/2000,HDFC,EQ,401.7,405,433.85,400,433.85,433.85,421.87,494473,2.09E+13
2/3/2000,HDFC,EQ,433.85,456.9,468.6,442,468.6,468.6,465.74,542377,2.53E+13
3/3/2000,HDFC,EQ,468.6,489,489,431.15,471,473.05,456.43,878831,4.01E+13
6/3/2000,HDFC,EQ,473.05,479,479,435.25,438.5,443.5,452.36,670934,3.04E+13
7/3/2000,HDFC,EQ,443.5,447,447,408.05,413.1,412.2,419.21,377112,1.58E+13
8/3/2000,HDFC,EQ,412.2,415,425,391.05,415,416.7,414.88,370922,1.54E+13
9/3/2000,HDFC,EQ,416.7,419,419,388.1,397,399.6,400.73,167704,6.72E+12
10/3/2000,HDFC,EQ,399.6,400,408.9,390.3,395,397.55,399.83,181580,7.26E+12
13-03-2000,HDFC,EQ,397.55,386.1,406,367,382.55,381.6,390.9,225462,8.81E+12
14-03-2000,HDFC,EQ,381.6,385,400,367,397,396.65,389.14,207168,8.06E+12
15-03-2000,HDFC,EQ,396.65,406,406.8,386,400,400.5,394.07,118712,4.68E+12
16-03-2000,HDFC,EQ,400.5,405.85,405.85,395.1,399,398.2,398.1,90678,3.61E+12
21-03-2000,HDFC,EQ,398.2,398,427,397,411.5,406.35,411.51,178957,7.36E+12
22-03-2000,HDFC,EQ,406.35,414,428.8,374,415.5,413.25,412.46,192789,7.95E+12
23-03-2000,HDFC,EQ,413.25,424,446.35,404,411.4,409.85,428.59,211811,9.08E+12
24-03-2000,HDFC,EQ,409.85,409.95,420,402.6,416,416.8,413.23,71629,2.96E+12
27-03-2000,HDFC,EQ,416.8,415,444.7,411.5,414,417.4,424.21,238780,1.01E+13
28-03-2000,HDFC,EQ,417.4,424.85,424.85,405.15,413.9,412.7,412.29,130006,5.36E+12
29-03-2000,HDFC,EQ,412.7,418.6,418.6,379.7,379.7,380.3,395.44,148043,5.85E+12
30-03-2000,HDFC,EQ,380.3,378,378,356.1,362,363.85,363.38,93015,3.38E+12
31-03-2000,HDFC,EQ,363.85,357,393,354,393,393,385.97,370725,1.43E+13
3/4/2000,HDFC,EQ,393,419,424.45,419,424.45,424.45,424.34,31159,1.32E+12
4/4/2000,HDFC,EQ,424.45,444,458.45,442,458.45,458.45,457.99,805679,3.69E+13
5/4/2000,HDFC,EQ,458.45,480,482.4,438,467.95,469.8,459.85,514772,2.37E+13
6/4/2000,HDFC,EQ,469.8,460,465,436.75,463.9,459.25,447.89,468924,2.10E+13
7/4/2000,HDFC,EQ,459.25,461,496,461,488,490.95,487.91,700690,3.42E+13
10/4/2000,HDFC,EQ,490.95,493.9,504,466,473.1,477.7,483.06,1310089,6.33E+13
11/4/2000,HDFC,EQ,477.7,470.05,470.05,457,466.95,464.3,464.88,215434,1.00E+13
12/4/2000,HDFC,EQ,464.3,460,464,441,456,453.25,450.63,354603,1.60E+13
13-04-2000,HDFC,EQ,453.25,449,476,430.05,450.1,448.7,452.17,385230,1.74E+13
17-04-2000,HDFC,EQ,448.7,444.55,444.55,415.3,432.55,433.1,428.79,598152,2.56E+13
18-04-2000,HDFC,EQ,433.1,444,453.75,435.3,444,445.4,444.54,310013,1.38E+13
19-04-2000,HDFC,EQ,445.4,432,463,431,459,459.35,455.26,330468,1.50E+13
20-04-2000,HDFC,EQ,459.35,459,494,446.1,471,475.1,469.57,595755,2.80E+13
24-04-2000,HDFC,EQ,475.1,470,475,444.2,446.9,448.05,456.08,216848,9.89E+12
25-04-2000,HDFC,EQ,448.05,444.15,459.9,428,456,456.9,447.24,338916,1.52E+13
26-04-2000,HDFC,EQ,456.9,470,474,452.2,454,460.65,461.64,386877,1.79E+13
27-04-2000,HDFC,EQ,460.65,458,464,446.6,460,460.15,458.45,201467,9.24E+12
28-04-2000,HDFC,EQ,460.15,460,477.7,460,470,472.35,470.38,390555,1.84E+13
2/5/2000,HDFC,EQ,472.35,475,492.45,460.55,487,479.35,476.02,462409,2.20E+13
3/5/2000,HDFC,EQ,479.35,451.8,468,446,461.25,460.85,457.51,233426,1.07E+13
4/5/2000,HDFC,EQ,460.85,470,470,445.15,456.5,455.75,455.51,275982,1.26E+13
5/5/2000,HDFC,EQ,455.75,453,453,437.25,445.5,449,444.56,283657,1.26E+13
8/5/2000,HDFC,EQ,449,440,449.75,430,439,437.55,436.79,254477,1.11E+13
9/5/2000,HDFC,EQ,437.55,433.1,434.9,415.5,430,424.95,425.17,279993,1.19E+13
10/5/2000,HDFC,EQ,424.95,423,447,410,440.15,441.75,433.3,163704,7.09E+12
11/5/2000,HDFC,EQ,441.75,437,467,437,450.05,448.65,451.18,370622,1.67E+13
12/5/2000,HDFC,EQ,448.65,460,462.5,445.05,460,461.05,458.82,133042,6.10E+12
15-05-2000,HDFC,EQ,461.05,457,466,451,461.9,460.4,457.91,86226,3.95E+12
16-05-2000,HDFC,EQ,460.4,465,475,459.1,470.5,471.75,467.53,136448,6.38E+12
17-05-2000,HDFC,EQ,471.75,463,468,458.1,462,461.35,462.77,74948,3.47E+12
18-05-2000,HDFC,EQ,461.35,460,468,458.5,465.5,465.45,464.08,39832,1.85E+12
19-05-2000,HDFC,EQ,465.45,464.5,480,461,478,477.65,474.42,171763,8.15E+12
