Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
3/1/2000,ICICIBANK,EQ,69.2,74.35,74.75,71.4,74.75,74.75,73.2,286260,2.10E+12
4/1/2000,ICICIBANK,EQ,74.75,73.05,78.5,71,73.25,73.05,73.38,296264,2.17E+12
5/1/2000,ICICIBANK,EQ,73.05,70,73.5,67.5,70,69.5,70.85,227624,1.61E+12
6/1/2000,ICICIBANK,EQ,69.5,71,74,69.55,69.75,70.05,72.04,275149,1.98E+12
7/1/2000,ICICIBANK,EQ,70.05,69,72.5,66,67,67.4,68.72,138809,9.54E+11
10/1/2000,ICICIBANK,EQ,67.4,67,71,67,70,69.9,69.78,249656,1.74E+12
11/1/2000,ICICIBANK,EQ,69.9,69.15,70.45,66.1,69,69.35,68.89,307601,2.12E+12
12/1/2000,ICICIBANK,EQ,69.35,69,74.9,69,74.9,74.9,74.35,88395,6.57E+11
13-01-2000,ICICIBANK,EQ,74.9,80,80.9,78,79,79.35,80.43,494679,3.98E+12
14-01-2000,ICICIBANK,EQ,79.35,78,80.8,75,80.05,79,78.15,703072,5.49E+12
17-01-2000,ICICIBANK,EQ,79,81.8,85.35,81.8,85.35,85.35,85.32,242095,2.07E+12
18-01-2000,ICICIBANK,EQ,85.35,88.1,88.1,82,85.05,84.8,84.69,332383,2.81E+12
19-01-2000,ICICIBANK,EQ,84.8,88.7,91.6,87,91.6,91.6,91.29,319504,2.92E+12
20-01-2000,ICICIBANK,EQ,91.6,98.9,98.95,95,96.15,96.35,97.19,562692,5.47E+12
21-01-2000,ICICIBANK,EQ,96.35,103.75,103.75,90.65,100,99.35,97.3,497788,4.84E+12
24-01-2000,ICICIBANK,EQ,99.35,101,107.3,101,107.3,107.3,106.59,238959,2.55E+12
25-01-2000,ICICIBANK,EQ,107.3,112,115.9,105.9,115.9,115.9,114.25,377898,4.32E+12
27-01-2000,ICICIBANK,EQ,115.9,125.2,125.2,125.15,125.2,125.2,125.2,55421,6.94E+11
28-01-2000,ICICIBANK,EQ,125.2,130,135.25,125.2,135.25,135.25,133.89,140552,1.88E+12
31-01-2000,ICICIBANK,EQ,135.25,145,146.1,142.8,146.1,146.1,146.05,48483,7.08E+11
1/2/2000,ICICIBANK,EQ,146.1,157.8,157.8,154.1,157.8,157.8,157.18,294448,4.63E+12
2/2/2000,ICICIBANK,EQ,157.8,170.4,170.45,170.4,170.45,170.45,170.45,77058,1.31E+12
3/2/2000,ICICIBANK,EQ,170.45,180.9,184.1,156.85,156.85,156.85,164.29,1096584,1.80E+13
4/2/2000,ICICIBANK,EQ,156.85,160,160,144.3,144.3,144.4,145.62,916856,1.34E+13
7/2/2000,ICICIBANK,EQ,144.4,153.5,155.95,141,154.2,155.6,154.97,346954,5.38E+12
8/2/2000,ICICIBANK,EQ,155.6,160,162,145,151.75,151.55,151.25,518908,7.85E+12
9/2/2000,ICICIBANK,EQ,151.55,163,163,147,158,156.55,153.12,574437,8.80E+12
10/2/2000,ICICIBANK,EQ,156.55,160,169.1,160,169.1,169.1,168.32,477509,8.04E+12
11/2/2000,ICICIBANK,EQ,169.1,178.85,178.85,158.9,158.9,160.3,165.24,358089,5.92E+12
14-02-2000,ICICIBANK,EQ,160.3,161.7,173,161.7,172.9,171.7,169.06,680012,1.15E+13
15-02-2000,ICICIBANK,EQ,171.7,171.9,178,162,166.05,164.2,166.09,333939,5.55E+12
16-02-2000,ICICIBANK,EQ,164.2,173.7,177.35,168,177.35,177.05,171.77,365906,6.29E+12
17-02-2000,ICICIBANK,EQ,177.05,179.95,187.45,175,179.65,179.75,182.55,524041,9.57E+12
18-02-2000,ICICIBANK,EQ,179.75,179,180,172.2,174,174.35,174.77,206088,3.60E+12
21-02-2000,ICICIBANK,EQ,174.35,177,177,168.25,170,170.2,170.54,216847,3.70E+12
22-02-2000,ICICIBANK,EQ,170.2,171,172,157.55,159,158.9,162.92,302490,4.93E+12
23-02-2000,ICICIBANK,EQ,158.9,163,169.8,156,156.05,156.9,161.02,138078,2.22E+12
24-02-2000,ICICIBANK,EQ,156.9,163,163,144.5,148.75,148.8,151.89,158543,2.41E+12
25-02-2000,ICICIBANK,EQ,148.8,154,160.7,147.5,160.7,160.3,156.56,168818,2.64E+12
28-02-2000,ICICIBANK,EQ,160.3,167,173.15,155,173.15,173.15,170.6,207492,3.54E+12
29-02-2000,ICICIBANK,EQ,173.15,186.2,187,165.65,168,171.3,183.25,485692,8.90E+12
1/3/2000,ICICIBANK,EQ,171.3,170,185,170,185,185,181.84,134657,2.45E+12
2/3/2000,ICICIBANK,EQ,185,199.8,199.8,199.8,199.8,199.8,199.8,60344,1.21E+12
3/3/2000,ICICIBANK,EQ,199.8,215.8,215.8,215.8,215.8,215.8,215.8,54422,1.17E+12
6/3/2000,ICICIBANK,EQ,215.8,233.1,233.1,199.8,233.1,233.1,230.72,253604,5.85E+12
7/3/2000,ICICIBANK,EQ,233.1,245,250,214.45,235,238.15,228.68,505774,1.16E+13
8/3/2000,ICICIBANK,EQ,238.15,249.5,249.5,219.1,219.1,219.35,228.49,188461,4.31E+12
9/3/2000,ICICIBANK,EQ,219.35,213,221.05,201.8,201.8,201.8,205.24,105191,2.16E+12
10/3/2000,ICICIBANK,EQ,201.8,199.9,217.95,185.7,215.2,211.65,202.59,370944,7.52E+12
13-03-2000,ICICIBANK,EQ,211.65,216,218.8,194.75,202,201.1,203.41,324805,6.61E+12
14-03-2000,ICICIBANK,EQ,201.1,200,205,186,201,201.2,199.82,295642,5.91E+12
15-03-2000,ICICIBANK,EQ,201.2,203.1,212.9,198,211,210.35,209.02,143921,3.01E+12
16-03-2000,ICICIBANK,EQ,210.35,215,217,202,203.85,203.95,211.32,135423,2.86E+12
21-03-2000,ICICIBANK,EQ,203.95,202,208.9,187.85,194,191.75,195.47,143802,2.81E+12
22-03-2000,ICICIBANK,EQ,191.75,197,207,195,200,200.35,201.4,108196,2.18E+12
23-03-2000,ICICIBANK,EQ,200.35,207,216.4,207,216.4,216.4,214.83,69268,1.49E+12
24-03-2000,ICICIBANK,EQ,216.4,228,233.75,216.25,233.75,233.75,227.17,199705,4.54E+12
27-03-2000,ICICIBANK,EQ,233.75,238,251.5,233,236.65,237.65,241.07,244731,5.90E+12
28-03-2000,ICICIBANK,EQ,237.65,242,242.2,218.65,220,221.95,223.54,266906,5.97E+12
29-03-2000,ICICIBANK,EQ,221.95,239.75,239.75,239.75,239.75,239.75,239.75,211225,5.06E+12
30-03-2000,ICICIBANK,EQ,239.75,258.95,258.95,258.95,258.95,258.95,258.95,53319,1.38E+12
31-03-2000,ICICIBANK,EQ,258.95,239.75,275,239,260.25,267.05,261.39,1049199,2.74E+13
3/4/2000,ICICIBANK,EQ,267.05,272.75,279.65,245.7,250.5,247.45,252.46,608155,1.54E+13
4/4/2000,ICICIBANK,EQ,247.45,245.75,245.75,227.65,227.65,229.25,228.27,729506,1.67E+13
5/4/2000,ICICIBANK,EQ,229.25,227.65,227.65,210.95,210.95,210.95,215.86,100843,2.18E+12
6/4/2000,ICICIBANK,EQ,210.95,212,219.95,194.1,203.4,202.85,199.35,263754,5.26E+12
7/4/2000,ICICIBANK,EQ,202.85,215.95,219.1,215.95,219.1,219.1,218.86,59542,1.30E+12
10/4/2000,ICICIBANK,EQ,219.1,224,236.65,224,236.65,236.65,236.41,27472,6.49E+11
11/4/2000,ICICIBANK,EQ,236.65,220,249.45,217.75,243,242.8,229.9,228999,5.26E+12
12/4/2000,ICICIBANK,EQ,242.8,259,259,232.1,236.85,236.95,237.5,147279,3.50E+12
13-04-2000,ICICIBANK,EQ,236.95,232,232,218,225.95,224.5,222.54,241833,5.38E+12
17-04-2000,ICICIBANK,EQ,224.5,206.55,225,206.55,209,209.25,208.49,223208,4.65E+12
18-04-2000,ICICIBANK,EQ,209.25,219.9,225,210,221.9,219.9,218.18,107964,2.36E+12
19-04-2000,ICICIBANK,EQ,219.9,235,235,211.05,217.05,217.55,221.28,134861,2.98E+12
