Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
03-01-2000,INDUSINDBK,EQ,26.8,28.9,28.95,28,28.95,28.95,28.69,107224,3.08E+11
04-01-2000,INDUSINDBK,EQ,28.95,30.85,31.25,27.9,30.6,30.25,29.12,182693,5.32E+11
05-01-2000,INDUSINDBK,EQ,30.25,29.9,30,27.85,28.45,28.15,28.72,162820,4.68E+11
06-01-2000,INDUSINDBK,EQ,28.15,29.25,29.35,27.95,27.95,28,28.55,87901,2.51E+11
07-01-2000,INDUSINDBK,EQ,28,27.2,28,26.5,27.2,27.05,27.09,65684,1.78E+11
10-01-2000,INDUSINDBK,EQ,27.05,28,28.05,27.15,27.45,27.5,27.68,87142,2.41E+11
11-01-2000,INDUSINDBK,EQ,27.5,28,28,26,27,26.35,26.52,186472,4.95E+11
12-01-2000,INDUSINDBK,EQ,26.35,27.4,27.4,26.65,27.3,27.1,26.93,72140,1.94E+11
13-01-2000,INDUSINDBK,EQ,27.1,27,27.5,26.55,26.8,26.7,27.07,89730,2.43E+11
14-01-2000,INDUSINDBK,EQ,26.7,26.5,26.7,25.65,26,25.95,26.04,66070,1.72E+11
17-01-2000,INDUSINDBK,EQ,25.95,27.95,28.05,27.95,28.05,28.05,28.05,122350,3.43E+11
18-01-2000,INDUSINDBK,EQ,28.05,30.25,30.3,27.3,28,27.8,28.75,389710,1.12E+12
19-01-2000,INDUSINDBK,EQ,27.8,28.5,30,27.65,30,29.7,28.72,268997,7.73E+11
20-01-2000,INDUSINDBK,EQ,29.7,29.9,31.4,29.15,30.9,30.6,30.01,281868,8.46E+11
21-01-2000,INDUSINDBK,EQ,30.6,30.9,30.9,29.25,30.5,30.3,29.86,225437,6.73E+11
24-01-2000,INDUSINDBK,EQ,30.3,28.6,32,28.6,29.05,29.1,29.65,141305,4.19E+11
25-01-2000,INDUSINDBK,EQ,29.1,29,29.6,28.1,29.5,29.1,28.75,191270,5.50E+11
27-01-2000,INDUSINDBK,EQ,29.1,30.5,31.45,30,31.45,31.45,31.39,77448,2.43E+11
28-01-2000,INDUSINDBK,EQ,31.45,34,34,34,34,34,34,51944,1.77E+11
31-01-2000,INDUSINDBK,EQ,34,36.5,36.75,36.5,36.75,36.75,36.75,159195,5.85E+11
01-02-2000,INDUSINDBK,EQ,36.75,39.65,39.7,35.5,39.7,39.7,39.03,729559,2.85E+12
02-02-2000,INDUSINDBK,EQ,39.7,42.9,42.9,42.9,42.9,42.9,42.9,105148,4.51E+11
03-02-2000,INDUSINDBK,EQ,42.9,45.7,46.35,40.45,41,41.25,43.77,1141249,4.99E+12
