Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
09-07-2003,MARUTI,EQ,125,164.9,170.4,155,164,164.3,165.95,35164283,5.84E+14
10-07-2003,MARUTI,EQ,164.3,167,168.7,164.5,167,167,166.74,10464179,1.74E+14
11-07-2003,MARUTI,EQ,167,167.75,174.85,166.25,173.6,173.35,172.45,11740117,2.02E+14
14-07-2003,MARUTI,EQ,173.35,174.25,179.25,174.25,178.6,177.95,177.91,5982324,1.06E+14
15-07-2003,MARUTI,EQ,177.95,200,200,173,176.3,176.2,176.88,6173689,1.09E+14
16-07-2003,MARUTI,EQ,176.2,176.45,179.1,175.35,176.9,177.1,177.59,3759085,6.68E+13
17-07-2003,MARUTI,EQ,177.1,177.5,178,170.65,170.7,172.2,175.48,3814181,6.69E+13
18-07-2003,MARUTI,EQ,172.2,165,171.9,160,167.4,167.4,167.66,5375212,9.01E+13
21-07-2003,MARUTI,EQ,167.4,169,169.4,163.05,164,164.9,166.67,3315845,5.53E+13
22-07-2003,MARUTI,EQ,164.9,164,169.15,162.1,168.6,167.25,165.06,4627992,7.64E+13
23-07-2003,MARUTI,EQ,167.25,170.5,178,169.8,175.55,174.7,174.54,13262249,2.31E+14
24-07-2003,MARUTI,EQ,174.7,175.9,177,172.85,173.65,174.1,174.45,4305936,7.51E+13
25-07-2003,MARUTI,EQ,174.1,174.4,175,172.1,174,173.65,173.66,2832967,4.92E+13
28-07-2003,MARUTI,EQ,173.65,188,188,175.1,179.25,178.85,178.01,5415867,9.64E+13
29-07-2003,MARUTI,EQ,178.85,179.95,182.9,179.1,180.2,180.3,180.93,5229181,9.46E+13
30-07-2003,MARUTI,EQ,180.3,181.25,184.75,180.1,180.25,181.1,182.55,4632246,8.46E+13
31-07-2003,MARUTI,EQ,181.1,181.7,183.65,179.65,181,180.85,181.87,3562717,6.48E+13
01-08-2003,MARUTI,EQ,180.85,182,189,178.75,188.4,187.15,184.36,8027285,1.48E+14
04-08-2003,MARUTI,EQ,187.15,187.85,198.5,185,197.5,197.6,194.65,9982429,1.94E+14
05-08-2003,MARUTI,EQ,197.6,199,203.45,192.85,193.85,193.6,198.15,9651327,1.91E+14
06-08-2003,MARUTI,EQ,193.6,191.5,197.5,189.85,191.75,191.6,193.45,7451054,1.44E+14
07-08-2003,MARUTI,EQ,191.6,193.5,196,192.25,195.7,195.4,194.27,3223676,6.26E+13
08-08-2003,MARUTI,EQ,195.4,197,198.9,196,197.5,197.15,197.37,2530289,4.99E+13
11-08-2003,MARUTI,EQ,197.15,198.1,203.8,196,201.8,202.2,201.71,5651311,1.14E+14
12-08-2003,MARUTI,EQ,202.2,203.8,212,203.5,210.8,210.45,207.77,8215213,1.71E+14
13-08-2003,MARUTI,EQ,210.45,213,219.5,212,218.5,217.8,215.87,7839204,1.69E+14
14-08-2003,MARUTI,EQ,217.8,223,224.4,215,217.75,216.55,220.36,6298655,1.39E+14
18-08-2003,MARUTI,EQ,216.55,218.1,221,215.4,218.25,216.9,217.99,3382031,7.37E+13
19-08-2003,MARUTI,EQ,216.9,219.85,219.9,215,215.3,215.65,216.41,3080091,6.67E+13
20-08-2003,MARUTI,EQ,215.65,217.4,226.45,217.3,226,225,222.96,6049174,1.35E+14
21-08-2003,MARUTI,EQ,225,227,228.9,223.3,228.1,227.95,226.97,4012069,9.11E+13
22-08-2003,MARUTI,EQ,227.95,228.05,232.8,225.9,229.2,229.3,229.44,4436016,1.02E+14
25-08-2003,MARUTI,EQ,229.3,230,231.45,216.1,220.5,221.05,222.47,4827198,1.07E+14
26-08-2003,MARUTI,EQ,221.05,217,235,217,234.75,232.45,228.74,3968069,9.08E+13
27-08-2003,MARUTI,EQ,232.45,235.4,237.6,233,233.5,234.3,235.26,2267859,5.34E+13
28-08-2003,MARUTI,EQ,234.3,235.75,235.75,226,228.1,228.05,229.17,3554363,8.15E+13
29-08-2003,MARUTI,EQ,228.05,232.05,238.5,231.5,235.2,235.4,235.52,3212067,7.56E+13
01-09-2003,MARUTI,EQ,235.4,236.4,237,231.7,237,235.55,234.78,2478236,5.82E+13
02-09-2003,MARUTI,EQ,235.55,234.85,234.85,224.1,226.1,226.55,226.77,3975812,9.02E+13
03-09-2003,MARUTI,EQ,226.55,227.1,231.75,221,222,222.8,226.33,3945233,8.93E+13
04-09-2003,MARUTI,EQ,222.8,223,225.7,218.45,221.3,221.55,221.67,3682478,8.16E+13
05-09-2003,MARUTI,EQ,221.55,223.9,230,222.4,229.3,229.3,225.96,2971415,6.71E+13
