Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
03-01-2000,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,1.11E+14
04-01-2000,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,2.50E+14
05-01-2000,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,7.37E+14
06-01-2000,RELIANCE,EQ,282.5,289,300.7,289,293.5,294.35,295.45,15682286,4.63E+14
07-01-2000,RELIANCE,EQ,294.35,295,317.9,293,314.5,314.55,308.91,19870977,6.14E+14
10-01-2000,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,4.19E+14
11-01-2000,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,3.72E+14
12-01-2000,RELIANCE,EQ,288.5,289,305,282.15,304.7,301.7,294.57,12109507,3.57E+14
13-01-2000,RELIANCE,EQ,301.7,306,316.4,304.1,309.75,311.85,311.79,17076042,5.32E+14
14-01-2000,RELIANCE,EQ,311.85,309.5,321.65,309.5,317,316.3,316.17,13460592,4.26E+14
17-01-2000,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180,3.39E+14
18-01-2000,RELIANCE,EQ,308.75,309,318.95,305.55,318.25,314.2,312.14,10083321,3.15E+14
19-01-2000,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8,319.6,321.17,11481392,3.69E+14
20-01-2000,RELIANCE,EQ,319.6,320,324.9,310.55,311.5,312.85,318.95,15428711,4.92E+14
21-01-2000,RELIANCE,EQ,312.85,312.7,328.4,312,327.5,326.35,322.05,17137072,5.52E+14
24-01-2000,RELIANCE,EQ,326.35,325.5,331.85,322,326.5,326.15,327.87,13163301,4.32E+14
25-01-2000,RELIANCE,EQ,326.15,325.05,325.3,318.25,321.05,319.95,321.77,9752949,3.14E+14
27-01-2000,RELIANCE,EQ,319.95,329,336.8,322.7,334.5,334.95,331.67,15014556,4.98E+14
28-01-2000,RELIANCE,EQ,334.95,335.9,341.9,331.6,337.25,338.35,337.97,11734252,3.97E+14
31-01-2000,RELIANCE,EQ,338.35,334.45,336,326.55,327.05,328.15,331.46,10191331,3.38E+14
01-02-2000,RELIANCE,EQ,328.15,330.8,337.45,328,336.05,334.05,334.35,10707804,3.58E+14
02-02-2000,RELIANCE,EQ,334.05,342.9,346.9,338.55,339.1,340.15,343.07,9950848,3.41E+14
